index,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
51,B1,28/09/02,Genk,Louvieroise,1,0,H,0,0,D,1.286,4.5,8.0,1.29,4.55,8.15,1.3,4.2,8.0,1.3,4.33,8.0,1.3,4.0,8.5,1.4,2.5
52,B1,28/09/02,Gent,Lierse,1,3,A,0,3,A,1.833,3.4,3.5,1.87,3.3,3.5,1.85,3.2,3.5,1.85,3.25,3.6,1.85,3.3,3.4,1.55,2.15
53,B1,28/09/02,Mouscron,Bergen,3,2,H,2,2,D,1.5,3.6,5.5,1.4,3.9,7.0,1.4,3.9,6.0,1.44,3.75,6.0,1.4,3.6,7.0,1.45,2.35
54,B1,28/09/02,Standard,St Truiden,2,2,D,1,1,D,2.0,3.2,3.2,1.93,3.35,3.5,2.1,3.2,2.9,2.0,3.2,3.2,2.05,3.2,3.0,1.6,2.05
55,B1,28/09/02,Westerlo,Germinal,2,1,H,1,1,D,2.25,3.2,2.75,2.27,3.25,2.7,2.3,3.2,2.5,2.25,3.25,2.7,2.2,3.2,2.7,1.55,2.1
56,B1,29/09/02,Mechelen,Lokeren,2,3,A,0,1,A,,,,3.05,3.3,2.05,,,,,,,,,,,
57,B1,04/10/02,Louvieroise,Beveren,2,1,H,0,0,D,1.8,3.4,3.6,1.7,3.45,4.35,1.55,3.5,4.8,1.667,3.4,4.333,1.65,3.4,4.3,,
58,B1,05/10/02,Bergen,Charleroi,4,1,H,1,0,H,1.727,3.4,4.0,1.82,3.35,3.85,1.7,3.2,4.2,1.75,3.3,4.0,1.7,3.5,3.8,1.6,2.0
59,B1,05/10/02,Germinal,Mechelen,2,2,D,2,1,H,,,,,,,,,,,,,,,,,
60,B1,05/10/02,Lierse,Antwerp,3,1,H,0,0,D,1.615,3.4,5.0,1.72,3.45,4.35,1.65,3.3,4.4,1.667,3.4,4.333,1.65,3.35,4.3,1.65,1.95
61,B1,05/10/02,Lokeren,Standard,3,3,D,1,1,D,1.8,3.4,3.6,1.8,3.35,3.95,1.8,3.3,3.6,1.727,3.4,4.0,1.7,3.3,4.1,1.6,2.0
62,B1,05/10/02,St Truiden,Gent,6,4,H,3,2,H,1.833,3.4,3.5,1.98,3.3,3.6,2.0,3.1,3.2,1.85,3.3,3.5,1.85,3.25,3.5,1.65,1.95
63,B1,06/10/02,Anderlecht,Genk,1,1,D,1,0,H,1.727,3.2,4.333,1.75,3.4,3.85,1.8,3.2,3.7,1.75,3.3,4.0,1.72,3.25,4.2,1.45,2.55
64,B1,06/10/02,Club Brugge,Mouscron,5,0,H,1,0,H,1.4,3.75,7.0,1.37,4.1,7.25,1.4,3.9,6.0,1.364,4.0,7.0,1.4,3.6,7.5,1.85,1.75
65,B1,19/10/02,Anderlecht,Bergen,2,1,H,0,0,D,1.2,5.0,11.0,1.24,5.0,10.0,1.2,5.0,10.0,1.222,5.0,9.5,1.2,4.9,10.0,1.4,2.63
66,B1,19/10/02,Antwerp,St Truiden,1,3,A,1,2,A,2.4,3.25,2.5,2.48,3.2,2.55,2.3,3.1,2.6,2.4,3.2,2.5,2.25,3.4,2.5,1.6,2.03
67,B1,19/10/02,Charleroi,Club Brugge,2,3,A,1,1,D,5.0,3.75,1.5,5.5,3.7,1.5,5.0,3.7,1.5,5.5,3.6,1.5,5.25,3.6,1.5,1.4,2.47
68,B1,19/10/02,Genk,Beveren,4,0,H,3,0,H,1.2,5.0,11.0,1.23,5.5,13.0,1.15,6.0,12.0,1.2,5.0,11.0,1.2,5.0,10.0,1.5,2.22
69,B1,19/10/02,Gent,Lokeren,2,3,A,0,3,A,2.2,3.4,2.75,2.3,3.2,2.8,2.2,3.1,2.8,2.25,3.2,2.75,2.2,3.25,2.7,1.45,2.22
70,B1,19/10/02,Standard,Germinal,2,1,H,1,0,H,1.8,3.4,3.6,1.7,3.35,4.4,1.7,3.2,4.2,1.727,3.4,4.0,1.9,3.25,3.35,,
71,B1,20/10/02,Mouscron,Lierse,1,1,D,0,0,D,2.2,3.25,2.75,2.15,3.25,3.1,1.9,3.2,3.4,2.1,3.2,3.0,2.15,3.2,2.8,1.5,2.28
72,B1,20/10/02,Westerlo,Louvieroise,0,3,A,0,2,A,2.0,3.2,3.2,2.12,3.25,3.2,2.2,3.1,2.8,2.0,3.2,3.2,1.9,3.25,3.3,1.6,2.05
73,B1,26/10/02,Bergen,Genk,1,2,A,0,1,A,2.75,3.25,2.2,3.15,3.3,2.1,3.1,3.2,2.0,3.0,3.25,2.1,2.75,3.2,2.2,1.5,2.15
74,B1,26/10/02,Beveren,Westerlo,2,1,H,1,0,H,2.2,3.25,2.75,2.2,3.3,2.85,2.2,3.1,2.8,2.15,3.25,2.9,2.1,3.3,2.8,1.5,2.2
75,B1,26/10/02,Germinal,Gent,2,1,H,2,0,H,1.8,3.3,3.75,1.8,3.4,3.85,1.9,3.2,3.4,1.833,3.4,3.6,1.9,3.3,3.3,1.4,2.3
76,B1,26/10/02,Lierse,Charleroi,2,1,H,1,0,H,1.364,4.0,7.0,1.46,3.7,6.7,1.4,3.9,6.0,1.4,3.8,7.0,1.3,4.2,8.0,1.45,2.3
77,B1,28/10/02,Lokeren,Antwerp,2,1,H,1,0,H,1.571,3.5,5.0,1.62,3.5,5.0,1.55,3.5,4.8,1.571,3.6,5.0,1.55,3.6,4.8,1.45,2.4
78,B1,28/10/02,Louvieroise,Mechelen,1,1,D,1,1,D,1.8,3.3,3.75,1.76,3.5,3.95,1.7,3.3,4.0,1.75,3.4,4.0,1.7,3.5,3.8,1.49,2.2
79,B1,02/11/02,Bergen,Club Brugge,1,2,A,0,0,D,4.0,3.4,1.727,4.25,3.5,1.71,3.8,3.3,1.75,4.333,3.4,1.667,4.2,3.4,1.65,,
80,B1,02/11/02,Charleroi,St Truiden,2,2,D,1,0,H,2.8,3.4,2.1,3.2,3.2,2.05,2.7,3.2,2.2,3.0,3.4,2.0,3.15,3.4,1.9,,
81,B1,02/11/02,Mouscron,Lokeren,1,1,D,1,1,D,2.1,3.4,2.8,2.2,3.25,2.85,2.2,3.1,2.8,2.2,3.25,2.75,2.1,3.3,2.8,,
82,B1,02/11/02,Standard,Louvieroise,1,0,H,0,0,D,1.8,3.3,3.75,1.76,3.45,4.0,1.8,3.2,3.7,1.75,3.4,3.8,1.75,3.35,3.8,,
83,B1,03/11/02,Antwerp,Germinal,5,3,H,2,3,A,2.25,3.2,2.75,2.4,3.1,2.7,2.4,3.2,2.4,2.2,3.25,2.75,2.3,3.15,2.6,,
84,B1,03/11/02,Genk,Westerlo,1,1,D,1,1,D,1.2,5.0,11.0,1.23,5.35,10.0,1.25,4.5,9.0,1.222,5.0,9.0,1.2,5.0,10.0,,
85,B1,03/11/02,Mechelen,Beveren,0,2,A,0,2,A,1.8,3.5,3.5,1.76,3.45,4.0,1.7,3.3,4.0,,,,,,,,
86,B1,04/11/02,Anderlecht,Lierse,1,2,A,1,1,D,1.5,3.6,5.5,1.53,3.65,5.5,1.55,3.5,4.8,1.5,3.6,5.5,1.5,3.6,5.2,1.58,2.33
87,B1,08/11/02,St Truiden,Anderlecht,3,1,H,0,1,A,2.75,3.25,2.2,2.77,3.3,2.31,2.9,3.2,2.1,2.6,3.25,2.3,2.55,3.2,2.3,1.5,2.25
88,B1,09/11/02,Club Brugge,Genk,4,0,H,2,0,H,1.72,3.25,4.2,1.72,3.35,4.35,1.7,3.3,4.0,1.6,3.4,4.75,1.66,3.3,4.5,1.5,2.25
89,B1,09/11/02,Germinal,Mouscron,0,2,A,0,0,D,1.83,3.25,3.6,1.82,3.35,3.75,2.0,3.2,3.1,1.8,3.3,3.75,1.8,3.4,3.5,1.6,2.0
90,B1,09/11/02,Lokeren,Charleroi,4,1,H,1,1,D,1.33,4.0,8.0,1.35,4.35,9.0,1.35,4.0,7.0,1.364,3.75,8.0,1.3,4.5,7.0,1.55,2.1
91,B1,09/11/02,Louvieroise,Gent,0,1,A,0,1,A,1.9,3.25,3.4,2.0,3.25,3.25,2.2,3.1,2.8,1.85,3.3,3.5,1.95,3.3,3.1,1.65,1.95
92,B1,09/11/02,Westerlo,Mechelen,2,0,H,0,0,D,1.9,3.25,3.4,,,,,,,,,,,,,,
93,B1,10/11/02,Beveren,Standard,1,3,A,0,2,A,2.7,3.25,2.25,2.8,3.15,2.3,2.8,3.1,2.2,2.6,3.25,2.3,2.45,3.3,2.35,1.7,2.0
94,B1,10/11/02,Lierse,Bergen,1,1,D,0,1,A,1.5,3.5,5.5,1.45,4.0,6.65,1.45,3.8,5.4,1.444,3.75,6.0,1.4,3.7,6.5,1.5,2.5
95,B1,20/11/02,St Truiden,Mouscron,2,2,D,0,1,A,1.727,3.25,4.2,1.78,3.36,4.1,1.85,3.1,3.6,1.7,3.25,4.333,1.75,3.4,3.7,1.45,2.35
96,B1,22/11/02,Anderlecht,Lokeren,2,0,H,0,0,D,1.615,3.6,4.333,1.65,3.5,5.0,1.65,3.3,4.4,1.615,3.5,4.5,1.7,3.4,3.9,1.4,2.7
