index,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
231,B1,11/03/96,Mechelen,Antwerp,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
232,B1,11/03/96,Seraing,Gent,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,
233,B1,11/03/96,St Truiden,Standard,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
234,B1,11/03/96,Waregem,Beveren,1.0,4.0,A,0.0,1.0,A,,,,,,,,,,,
235,B1,15/03/96,Molenbeek,Charleroi,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
236,B1,16/03/96,Lierse,Germinal,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
237,B1,16/03/96,Lommel,Mechelen,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
238,B1,16/03/96,Standard,Seraing,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
239,B1,17/03/96,Aalst,Waregem,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
240,B1,17/03/96,Antwerp,Anderlecht,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
241,B1,17/03/96,Cercle Brugge,St Truiden,2.0,1.0,H,0.0,1.0,A,,,,,,,,,,,
242,B1,17/03/96,Gent,Club Brugge,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
243,B1,17/03/96,Harelbeke,Beveren,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
244,B1,22/03/96,Charleroi,Standard,2.0,2.0,D,2.0,2.0,D,,,,,,,,,,,
245,B1,23/03/96,Mechelen,Beveren,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
246,B1,23/03/96,Molenbeek,Lierse,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
247,B1,23/03/96,Seraing,Antwerp,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,
248,B1,23/03/96,St Truiden,Lommel,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
249,B1,24/03/96,Aalst,Cercle Brugge,4.0,3.0,H,2.0,1.0,H,,,,,,,,,,,
250,B1,24/03/96,Club Brugge,Harelbeke,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
