index,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
127,B1,01/12/00,Anderlecht,Club Brugge,2,0,H,1,0,H,2.2,3.2,2.8,2.2,2.9,2.7,2.25,3.2,2.75,2.25,3.2,2.75
128,B1,02/12/00,Gent,Standard,2,1,H,0,1,A,2.4,3.1,2.6,2.35,3.0,2.35,2.38,3.2,2.5,2.35,3.3,2.45
129,B1,02/12/00,Antwerp,Mechelen,3,1,H,0,0,D,1.75,3.3,4.1,1.7,3.2,3.6,1.7,3.4,4.0,1.75,3.5,3.55
130,B1,02/12/00,Charleroi,Aalst,0,0,D,0,0,D,1.5,3.6,5.6,1.4,3.6,5.5,1.5,3.5,5.5,1.5,3.8,4.8
131,B1,02/12/00,Genk,Louvieroise,1,0,H,1,0,H,1.4,4.0,6.5,1.35,3.8,6.2,1.4,4.0,6.0,1.4,4.1,5.5
132,B1,02/12/00,Lierse,Germinal,1,1,D,1,0,H,1.75,3.3,4.0,1.7,3.2,3.6,1.73,3.3,4.0,1.7,3.5,3.75
133,B1,02/12/00,Mouscron,Lokeren,2,1,H,0,1,A,1.6,3.2,5.2,1.5,3.4,4.7,1.6,3.5,4.5,1.55,3.75,4.4
134,B1,03/12/00,Beveren,St Truiden,0,0,D,0,0,D,1.85,3.2,3.8,1.9,3.0,3.1,1.83,3.4,3.4,1.85,3.4,3.3
135,B1,03/12/00,Harelbeke,Westerlo,0,4,A,0,1,A,2.65,3.4,2.2,2.8,3.0,2.1,2.7,3.25,2.2,2.95,3.35,2.0
136,B1,08/12/00,Standard,Mouscron,3,3,D,0,1,A,1.7,3.6,4.0,1.75,3.1,3.6,1.62,3.4,4.5,1.6,3.5,4.4
137,B1,09/12/00,Germinal,Genk,5,1,H,1,1,D,1.9,3.1,3.6,1.85,3.0,3.3,1.83,3.5,3.3,1.85,3.5,3.2
